2002;;2004;;2006;;;2008;;2009;;2010;;2011;;2012;;2013;;2014;;2015;;2016;;2017;
1999;0;2003;1;2005;1;;2007;3;2008;7;2009;8;2010;17;2011;30;2012;30;2013;37;2014;40;2015;50;2016;75
2010;1;2010;1;2015;3;;2015;3;2015;6;2015;6;2015;14;2020;22;2020;27;2020;32;2020;37;2020;51;2025;71
2020;1;2020;2;2030;7;;2020;7;2020;10;2020;11;2020;14;2025;22;2025;25;2025;28;2025;33;2025;47;2030;73
2030;4;2030;5;;0;;2025;11;2025;12;2025;17;2025;18;2030;23;2030;25;2030;28;2030;34;2030;47;2035;77
;;;;;;;2030;16;2030;16;2030;19;2030;23;2035;22;2035;25;2035;29;2035;34;2035;47;2040;76
;;;;;;;;;;;2035;22;2035;23;;;;;2040;28;2040;33;2040;44;;
